Protein	STRING protein	Protein_Info	identity	bitscore
B2R6V9	F13A1	Coagulation factor XIII, A1 polypeptide; Factor XIII is activated by thrombin and calcium ion to a transglutaminase that catalyzes the formation of gamma-glutamyl- epsilon-lysine cross-links between fibrin chains, thus stabilizing the fibrin clot. Also cross-link alpha-2-plasmin inhibitor, or fibronectin, to the alpha chains of fibrin	100 %	1527
B2R6W1	C7	Complement component 7; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells. C7 serves as a membrane anchor	100 %	1739
B2R815	SERPINA4	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4; Inhibits human amidolytic and kininogenase activities of tissue kallikrein. Inhibition is achieved by formation of an equimolar, heat- and SDS-stable complex between the inhibitor and the enzyme, and generation of a small C-terminal fragment of the inhibitor due to cleavage at the reactive site by tissue kallikrein	100 %	879
B2R888	CD14	CD14 molecule; Coreceptor for bacterial lipopolysaccharide (PubMed:1698311, PubMed:23264655). In concert with LBP, binds to monomeric lipopolysaccharide and delivers it to the LY96/TLR4 complex, thereby mediating the innate immune response to bacterial lipopolysaccharide (LPS) (PubMed:20133493, PubMed:23264655). Acts via MyD88, TIRAP and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response (PubMed:8612135). Acts as a coreceptor for TLR2:TLR6 heterodimer in response to diacylated lipopeptides and for TLR2:TLR1 heterodimer in response to triacylated l [...] 	100 %	750
B2RA39	CFHR5	Complement factor H-related 5; Involved in complement regulation. The dimerized forms have avidity for tissue-bound complement fragments and efficiently compete with the physiological complement inhibitor CFH	100 %	1174
B2RAN2	VNN1	Vanin 1; Amidohydrolase that hydrolyzes specifically one of the carboamide linkages in D-pantetheine thus recycling pantothenic acid (vitamin B5) and releasing cysteamine	100 %	1070
B4DF70	PRDX2	Peroxiredoxin 2; Involved in redox regulation of the cell. Reduces peroxides with reducing equivalents provided through the thioredoxin system. It is not able to receive electrons from glutaredoxin. May play an important role in eliminating peroxides generated during metabolism. Might participate in the signaling cascades of growth factors and tumor necrosis factor-alpha by regulating the intracellular concentrations of H(2)O(2)	100 %	322
B4DLL8	GPNMB	Glycoprotein (transmembrane) nmb; Could be a melanogenic enzyme	99 %	776
B4DM82	PPIA	Peptidylprolyl isomerase A (cyclophilin A); PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	78 %	248
B4DN75	COMP	Cartilage oligomeric matrix protein; May play a role in the structural integrity of cartilage via its interaction with other extracellular matrix proteins such as the collagens and fibronectin. Can mediate the interaction of chondrocytes with the cartilage extracellular matrix through interaction with cell surface integrin receptors. Could play a role in the pathogenesis of osteoarthritis. Potent suppressor of apoptosis in both primary chondrocytes and transformed cells. Suppresses apoptosis by blocking the activation of caspase-3 and by inducing the IAP family of survival proteins (BI [...] 	100 %	1387
B4DVZ8	LTA4H	Leukotriene A4 hydrolase; Epoxide hydrolase that catalyzes the final step in the biosynthesis of the proinflammatory mediator leukotriene B4. Has also aminopeptidase activity	100 %	1162
B4E3Q4	CECR1	Cat eye syndrome chromosome region, candidate 1; Adenosine deaminase that may contribute to the degradation of extracellular adenosine, a signaling molecule that controls a variety of cellular responses. Requires elevated adenosine levels for optimal enzyme activity. Binds to cell surfaces via proteoglycans and may play a role in the regulation of cell proliferation and differentiation, independently of its enzyme activity	100 %	983
B7Z4R8	PRG4	Proteoglycan 4; Plays a role in boundary lubrication within articulating joints. Prevents protein deposition onto cartilage from synovial fluid by controlling adhesion-dependent synovial growth and inhibiting the adhesion of synovial cells to the cartilage surface	100 %	829
B7Z544	ITIH4	Inter-alpha-trypsin inhibitor heavy chain family, member 4; Type II acute-phase protein (APP) involved in inflammatory responses to trauma. May also play a role in liver development or regeneration	95 %	1784
B7Z556	AHSG	alpha-2-HS-glycoprotein; Promotes endocytosis, possesses opsonic properties and influences the mineral phase of bone. Shows affinity for calcium and barium ions	99 %	399
B7ZL68	NRP2	Neuropilin 2; High affinity receptor for semaphorins 3C, 3F, VEGF-165 and VEGF-145 isoforms of VEGF, and the PLGF-2 isoform of PGF	99 %	1898
B9EJA8	ENSG00000183748	cDNA FLJ56855, highly similar to Macrophage mannose receptor 1 	100 %	3037
C9K028	NME1	NME/NM23 nucleoside diphosphate kinase 1; Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate. Possesses nucleoside-diphosphate kinase, serine/threonine-specific protein kinase, geranyl and farnesyl pyrophosphate kinase, histidine protein kinase and 3'-5' exonuclease activities. Involved in cell proliferation, differentiation and development, signal transduction, G protein- coupled receptor endocytosis, and gene expression. Requ [...] 	100 %	124
D3DSP9	FGL1	Fibrinogen-like 1; Has hepatocyte mitogenic activity	100 %	495
D6R9C5	SPP1	Secreted phosphoprotein 1; Binds tightly to hydroxyapatite. Appears to form an integral part of the mineralized matrix. Probably important to cell-matrix interaction	85 %	380
D6REY1	CHIT1	Chitinase 1 (chitotriosidase); Degrades chitin, chitotriose and chitobiose. May participate in the defense against nematodes and other pathogens. Isoform 3 has no enzymatic activity	98 %	716
E7EQB2	LTF	Lactotransferrin; Lactoferroxins A, B and C have opioid antagonist activity. Lactoferroxin A shows preference for mu-receptors, while lactoferroxin B and C have somewhat higher degrees of preference for kappa-receptors than for mu-receptors	100 %	1442
F5GZZ9	CD163	CD163 molecule; Acute phase-regulated receptor involved in clearance and endocytosis of hemoglobin/haptoglobin complexes by macrophages and may thereby protect tissues from free hemoglobin-mediated oxidative damage. May play a role in the uptake and recycling of iron, via endocytosis of hemoglobin/haptoglobin and subsequent breakdown of heme. Binds hemoglobin/haptoglobin complexes in a calcium-dependent and pH-dependent manner. Exhibits a higher affinity for complexes of hemoglobin and multimeric haptoglobin of HP*1F phenotype than for complexes of hemoglobin and dimeric haptoglobin of [...] 	100 %	2246
F5H7V9	TNC	Tenascin C; Extracellular matrix protein implicated in guidance of migrating neurons as well as axons during development, synaptic plasticity as well as neuronal regeneration. Promotes neurite outgrowth from cortical neurons grown on a monolayer of astrocytes. Ligand for integrins alpha-8/beta-1, alpha-9/beta-1, alpha-V/beta-3 and alpha-V/beta-6	76 %	2392
F5H8B0	F7	Coagulation factor VII (serum prothrombin conversion accelerator); Initiates the extrinsic pathway of blood coagulation. Serine protease that circulates in the blood in a zymogen form. Factor VII is converted to factor VIIa by factor Xa, factor XIIa, factor IXa, or thrombin by minor proteolysis. In the presence of tissue factor and calcium ions, factor VIIa then converts factor X to factor Xa by limited proteolysis. Factor VIIa will also convert factor IX to factor IXa in the presence of tissue factor and calcium	100 %	753
G8JLJ2	SOD2	Superoxide dismutase 2, mitochondrial; Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems	61 %	107
H0Y3T6	SDF4	Stromal cell derived factor 4; May regulate calcium-dependent activities in the endoplasmic reticulum lumen or post-ER compartment	89 %	427
H0Y512	APMAP	Adipocyte plasma membrane associated protein; Exhibits strong arylesterase activity with beta-naphthyl acetate and phenyl acetate. May play a role in adipocyte differentiation	98 %	807
J3KRP0	CNDP1	Carnosine dipeptidase 1 (metallopeptidase M20 family)	100 %	939
M0QYC8	C3	Complement component 3; C3 plays a central role in the activation of the complement system. Its processing by C3 convertase is the central reaction in both classical and alternative complement pathways. After activation C3b can bind covalently, via its reactive thioester, to cell surface carbohydrates or immune aggregates	93 %	368
P00558	PGK1	Phosphoglycerate kinase 1; In addition to its role as a glycolytic enzyme, it seems that PGK-1 acts as a polymerase alpha cofactor protein (primer recognition protein) (PubMed:2324090). May play a role in sperm motility (PubMed:26677959)	100 %	846
P00568	AK1	Adenylate kinase 1; Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Also displays broad nucleoside diphosphate kinase activity. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism	100 %	393
P00915	CA1	Carbonic anhydrase I; Reversible hydration of carbon dioxide. Can hydrates cyanamide to urea	100 %	542
P01011	SERPINA3	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3; Although its physiological function is unclear, it can inhibit neutrophil cathepsin G and mast cell chymase, both of which can convert angiotensin-1 to the active angiotensin-2	100 %	872
P02647	APOA1	Apolipoprotein A-I; Participates in the reverse transport of cholesterol from tissues to the liver for excretion by promoting cholesterol efflux from tissues and by acting as a cofactor for the lecithin cholesterol acyltransferase (LCAT). As part of the SPAP complex, activates spermatozoa motility	100 %	537
P02649	APOE	Apolipoprotein E; Mediates the binding, internalization, and catabolism of lipoprotein particles. It can serve as a ligand for the LDL (apo B/E) receptor and for the specific apo-E receptor (chylomicron remnant) of hepatic tissues	100 %	617
P02741	CRP	C-reactive protein, pentraxin-related; Displays several functions associated with host defense: it promotes agglutination, bacterial capsular swelling, phagocytosis and complement fixation through its calcium-dependent binding to phosphorylcholine. Can interact with DNA and histones and may scavenge nuclear material released from damaged circulating cells	100 %	461
P02750	LRG1	Leucine-rich alpha-2-glycoprotein 1	100 %	690
P02765	AHSG	alpha-2-HS-glycoprotein; Promotes endocytosis, possesses opsonic properties and influences the mineral phase of bone. Shows affinity for calcium and barium ions	99 %	747
P02775	PPBP	Pro-platelet basic protein (chemokine (C-X-C motif) ligand 7); LA-PF4 stimulates DNA synthesis, mitosis, glycolysis, intracellular cAMP accumulation, prostaglandin E2 secretion, and synthesis of hyaluronic acid and sulfated glycosaminoglycan. It also stimulates the formation and secretion of plasminogen activator by human synovial cells. NAP-2 is a ligand for CXCR1 and CXCR2, and NAP-2, NAP-2(73), NAP-2(74), NAP-2(1-66), and most potent NAP-2(1-63) are chemoattractants and activators for neutrophils. TC-1 and TC-2 are antibacterial proteins, in vitro released from activated platelet al [...] 	100 %	257
P02776	PF4	Platelet factor 4; Released during platelet aggregation. Neutralizes the anticoagulant effect of heparin because it binds more strongly to heparin than to the chondroitin-4-sulfate chains of the carrier molecule. Chemotactic for neutrophils and monocytes. Inhibits endothelial cell proliferation, the short form is a more potent inhibitor than the longer form	100 %	202
P02792	FTL	Ferritin, light polypeptide; Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation. Also plays a role in delivery of iron to cells. Mediates iron uptake in capsule cells of the developing kidney (By similarity)	100 %	360
P04040	CAT	Catalase; Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide. Promotes growth of cells including T-cells, B-cells, myeloid leukemia cells, melanoma cells, mastocytoma cells and normal and transformed fibroblast cells	100 %	1103
P05164	MPO	Myeloperoxidase; Part of the host defense system of polymorphonuclear leukocytes. It is responsible for microbicidal activity against a wide range of organisms. In the stimulated PMN, MPO catalyzes the production of hypohalous acids, primarily hypochlorous acid in physiologic situations, and other toxic intermediates that greatly enhance PMN microbicidal activity	100 %	1536
P05452	CLEC3B	C-type lectin domain family 3, member B; Tetranectin binds to plasminogen and to isolated kringle 4. May be involved in the packaging of molecules destined for exocytosis	100 %	420
P06396	GSN	Gelsolin; Calcium-regulated, actin-modulating protein that binds to the plus (or barbed) ends of actin monomers or filaments, preventing monomer exchange (end-blocking or capping). It can promote the assembly of monomers into filaments (nucleation) as well as sever filaments already formed. Plays a role in ciliogenesis	100 %	1621
P06727	APOA4	Apolipoprotein A-IV; May have a role in chylomicrons and VLDL secretion and catabolism. Required for efficient activation of lipoprotein lipase by ApoC-II; potent activator of LCAT. Apoa-IV is a major component of HDL and chylomicrons	100 %	790
P10599	TXN	Thioredoxin; Participates in various redox reactions through the reversible oxidation of its active center dithiol to a disulfide and catalyzes dithiol-disulfide exchange reactions. Plays a role in the reversible S-nitrosylation of cysteine residues in target proteins, and thereby contributes to the response to intracellular nitric oxide. Nitrosylates the active site Cys of CASP3 in response to nitric oxide (NO), and thereby inhibits caspase-3 activity. Induces the FOS/JUN AP-1 DNA-binding activity in ionizing radiation (IR) cells through its oxidation/reduction status and stimulates A [...] 	100 %	214
P10645	CHGA	Chromogranin A (parathyroid secretory protein 1); Pancreastatin: Strongly inhibits glucose induced insulin release from the pancreas	100 %	896
P11226	MBL2	Mannose-binding lectin (protein C) 2, soluble; Calcium-dependent lectin involved in innate immune defense. Binds mannose, fucose and N-acetylglucosamine on different microorganisms and activates the lectin complement pathway. Binds to late apoptotic cells, as well as to apoptotic blebs and to necrotic cells, but not to early apoptotic cells, facilitating their uptake by macrophages. May bind DNA	100 %	504
P14174	MIF	Macrophage migration inhibitory factor (glycosylation-inhibiting factor); Pro-inflammatory cytokine. Involved in the innate immune response to bacterial pathogens. The expression of MIF at sites of inflammation suggests a role as mediator in regulating the function of macrophages in host defense. Counteracts the anti- inflammatory activity of glucocorticoids. Has phenylpyruvate tautomerase and dopachrome tautomerase activity (in vitro), but the physiological substrate is not known. It is not clear whether the tautomerase activity has any physiological relevance, and whether it is impor [...] 	100 %	241
P14543	NID1	Nidogen 1; Sulfated glycoprotein widely distributed in basement membranes and tightly associated with laminin. Also binds to collagen IV and perlecan. It probably has a role in cell- extracellular matrix interactions	100 %	2583
P18065	IGFBP2	Insulin-like growth factor binding protein 2, 36kDa; Inhibits IGF-mediated growth and developmental rates. IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors	100 %	649
P24593	IGFBP5	Insulin-like growth factor binding protein 5; IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors	100 %	560
P26447	S100A4	S100 calcium binding protein A4	100 %	207
P27169	PON1	Paraoxonase 1; Hydrolyzes the toxic metabolites of a variety of organophosphorus insecticides. Capable of hydrolyzing a broad spectrum of organophosphate substrates and lactones, and a number of aromatic carboxylic acid esters. Mediates an enzymatic protection of low density lipoproteins against oxidative modification and the consequent series of events leading to atheroma formation	100 %	729
P30043	BLVRB	Biliverdin reductase B (flavin reductase (NADPH)); Broad specificity oxidoreductase that catalyzes the NADPH-dependent reduction of a variety of flavins, such as riboflavin, FAD or FMN, biliverdins, methemoglobin and PQQ (pyrroloquinoline quinone). Contributes to heme catabolism and metabolizes linear tetrapyrroles. Can also reduce the complexed Fe(3+) iron to Fe(2+) in the presence of FMN and NADPH. In the liver, converts biliverdin to bilirubin	100 %	420
P36222	CHI3L1	Chitinase 3-like 1 (cartilage glycoprotein-39); Carbohydrate-binding lectin with a preference for chitin. Has no chitinase activity. May play a role in tissue remodeling and in the capacity of cells to respond to and cope with changes in their environment. Plays a role in T-helper cell type 2 (Th2) inflammatory response and IL-13-induced inflammation, regulating allergen sensitization, inflammatory cell apoptosis, dendritic cell accumulation and M2 macrophage differentiation. Facilitates invasion of pathogenic enteric bacteria into colonic mucosa and lymphoid organs. Mediates activatio [...] 	100 %	799
P43652	AFM	Afamin; Vitamin E binding protein. May transport vitamin E in body fluids under conditions where the lipoprotein system is not sufficient. May be involved in the regulation and transport of vitamin E at the blood-brain barrier	100 %	1228
P54289	CACNA2D1	Calcium channel, voltage-dependent, alpha 2/delta subunit 1; The alpha-2/delta subunit of voltage-dependent calcium channels regulates calcium current density and activation/inactivation kinetics of the calcium channel. Plays an important role in excitation-contraction coupling (By similarity)	98 %	2229
P80108	GPLD1	Glycosylphosphatidylinositol specific phospholipase D1; This protein hydrolyzes the inositol phosphate linkage in proteins anchored by phosphatidylinositol glycans (GPI-anchor) thus releasing these proteins from the membrane	100 %	1734
Q06033	ITIH3	Inter-alpha-trypsin inhibitor heavy chain 3; May act as a carrier of hyaluronan in serum or as a binding protein between hyaluronan and other matrix protein, including those on cell surfaces in tissues to regulate the localization, synthesis and degradation of hyaluronan which are essential to cells undergoing biological processes	100 %	1849
Q14520	HABP2	Hyaluronan binding protein 2; Cleaves the alpha-chain at multiple sites and the beta- chain between 'Lys-53' and 'Lys-54' but not the gamma-chain of fibrinogen and therefore does not initiate the formation of the fibrin clot and does not cause the fibrinolysis directly. It does not cleave (activate) prothrombin and plasminogen but converts the inactive single chain urinary plasminogen activator (pro- urokinase) to the active two chain form. Activates coagulation factor VII (PubMed:8827452, PubMed:10754382, PubMed:11217080). May function as a tumor suppressor negatively regulating cell [...] 	100 %	1173
Q16627	CCL14	Chemokine (C-C motif) ligand 14	84 %	186
Q17RQ9	NKPD1	NTPase, KAP family P-loop domain containing 1	100 %	1248
Q53G79	CPT2	Carnitine palmitoyltransferase 2	99 %	1191
Q53H26	TF	Transferrin; Transferrins are iron binding transport proteins which can bind two Fe(3+) ions in association with the binding of an anion, usually bicarbonate. It is responsible for the transport of iron from sites of absorption and heme degradation to those of storage and utilization. Serum transferrin may also have a further role in stimulating cell proliferation	100 %	1446
Q59GR5	BPGM	2,3-bisphosphoglycerate mutase; Plays a major role in regulating hemoglobin oxygen affinity by controlling the levels of its allosteric effector 2,3- bisphosphoglycerate (2,3-BPG). Also exhibits mutase (EC 5.4.2.1) and phosphatase (EC 3.1.3.13) activities	100 %	292
Q5TFQ8	SIRPB1	Signal-regulatory protein beta 1; Immunoglobulin-like cell surface receptor involved in the negative regulation of receptor tyrosine kinase-coupled signaling processes	100 %	823
Q5VY30	RBP4	Retinol binding protein 4, plasma; Delivers retinol from the liver stores to the peripheral tissues. In plasma, the RBP-retinol complex interacts with transthyretin, this prevents its loss by filtration through the kidney glomeruli	99 %	386
Q6N092	ENSG00000223931	Protein IGHV3OR16-10 	70 %	147
Q6UXB8	PI16	Peptidase inhibitor 16; Putative serine protease inhibitor	100 %	944
Q7Z4G9	ASGR2	Asialoglycoprotein receptor 2; Mediates the endocytosis of plasma glycoproteins to which the terminal sialic acid residue on their complex carbohydrate moieties has been removed. The receptor recognizes terminal galactose and N-acetylgalactosamine units. After ligand binding to the receptor, the resulting complex is internalized and transported to a sorting organelle, where receptor and ligand are disassociated. The receptor then returns to the cell membrane surface	98 %	634
Q86U17	SERPINA11	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11	100 %	867
Q8TCF0	LBP	Lipopolysaccharide binding protein; Plays a role in the innate immune response. Binds to the lipid A moiety of bacterial lipopolysaccharides (LPS), a glycolipid present in the outer membrane of all Gram-negative bacteria (PubMed:7517398, PubMed:24120359). Acts as an affinity enhancer for CD14, facilitating its association with LPS. Promotes the release of cytokines in response to bacterial lipopolysaccharide (PubMed:7517398, PubMed:24120359)	100 %	953
Q8WUW7	PKM	Pyruvate kinase, muscle; Glycolytic enzyme that catalyzes the transfer of a phosphoryl group from phosphoenolpyruvate (PEP) to ADP, generating ATP. Stimulates POU5F1-mediated transcriptional activation. Plays a general role in caspase independent cell death of tumor cells. The ratio betwween the highly active tetrameric form and nearly inactive dimeric form determines whether glucose carbons are channeled to biosynthetic processes or used for glycolytic ATP production. The transition between the 2 forms contributes to the control of glycolysis and is important for tumor cell proliferat [...] 	94 %	662
Q96PD5	PGLYRP2	Peptidoglycan recognition protein 2; May play a scavenger role by digesting biologically active peptidoglycan (PGN) into biologically inactive fragments. Has no direct bacteriolytic activity	100 %	1169
Q9NSY8	MASP1	Mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	100 %	173
Q9UGM5	FETUB	Fetuin B; Protease inhibitor required for egg fertilization. Required to prevent premature zona pellucida hardening before fertilization, probably by inhibiting the protease activity of ASTL, a protease that mediates the cleavage of ZP2 and triggers zona pellucida hardening (By similarity)	100 %	788
Q9UNH2	IL18BP	Interleukin 18 binding protein; Isoform A binds to IL-18 and inhibits its activity. Functions as an inhibitor of the early TH1 cytokine response	100 %	365
Q9Y5Y7	LYVE1	Lymphatic vessel endothelial hyaluronan receptor 1; Ligand-specific transporter trafficking between intracellular organelles (TGN) and the plasma membrane. Plays a role in autocrine regulation of cell growth mediated by growth regulators containing cell surface retention sequence binding (CRS). May act as a hyaluronan (HA) transporter, either mediating its uptake for catabolism within lymphatic endothelial cells themselves, or its transport into the lumen of afferent lymphatic vessels for subsequent re-uptake and degradation in lymph nodes	100 %	658
R4GN98	S100A6	S100 calcium binding protein A6; May function as calcium sensor and modulator, contributing to cellular calcium signaling. May function by interacting with other proteins, such as TPR-containing proteins, and indirectly play a role in many physiological processes such as the reorganization of the actin cytoskeleton and in cell motility. Binds 2 calcium ions. Calcium binding is cooperative	100 %	174
U3KQF3	TPI1	Triosephosphate isomerase 1	100 %	201</div>
