Protein	STRING protein	Protein_Info	identity	bitscore
B2R6V9	F13A1	Coagulation factor XIII, A1 polypeptide; Factor XIII is activated by thrombin and calcium ion to a transglutaminase that catalyzes the formation of gamma-glutamyl- epsilon-lysine cross-links between fibrin chains, thus stabilizing the fibrin clot. Also cross-link alpha-2-plasmin inhibitor, or fibronectin, to the alpha chains of fibrin	100 %	1527
B2R815	SERPINA4	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4; Inhibits human amidolytic and kininogenase activities of tissue kallikrein. Inhibition is achieved by formation of an equimolar, heat- and SDS-stable complex between the inhibitor and the enzyme, and generation of a small C-terminal fragment of the inhibitor due to cleavage at the reactive site by tissue kallikrein	100 %	879
B2R888	CD14	CD14 molecule; Coreceptor for bacterial lipopolysaccharide (PubMed:1698311, PubMed:23264655). In concert with LBP, binds to monomeric lipopolysaccharide and delivers it to the LY96/TLR4 complex, thereby mediating the innate immune response to bacterial lipopolysaccharide (LPS) (PubMed:20133493, PubMed:23264655). Acts via MyD88, TIRAP and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response (PubMed:8612135). Acts as a coreceptor for TLR2:TLR6 heterodimer in response to diacylated lipopeptides and for TLR2:TLR1 heterodimer in response to triacylated l [...] 	100 %	750
B2R8I2	HRG	Histidine-rich glycoprotein; Plasma glycoprotein that binds a number of ligands such as heme, heparin, heparan sulfate, thrombospondin, plasminogen, and divalent metal ions. Binds heparin and heparin/glycosaminoglycans in a zinc-dependent manner. Binds heparan sulfate on the surface of liver, lung, kidney and heart endothelial cells. Binds to N-sulfated polysaccharide chains on the surface of liver endothelial cells. Inhibits rosette formation. Acts as an adapter protein and is implicated in regulating many processes such as immune complex and pathogen clearance, cell chemotaxis, cell [...] 	99 %	1046
B2RA39	CFHR5	Complement factor H-related 5; Involved in complement regulation. The dimerized forms have avidity for tissue-bound complement fragments and efficiently compete with the physiological complement inhibitor CFH	100 %	1174
B2RAN2	VNN1	Vanin 1; Amidohydrolase that hydrolyzes specifically one of the carboamide linkages in D-pantetheine thus recycling pantothenic acid (vitamin B5) and releasing cysteamine	100 %	1070
B4DF70	PRDX2	Peroxiredoxin 2; Involved in redox regulation of the cell. Reduces peroxides with reducing equivalents provided through the thioredoxin system. It is not able to receive electrons from glutaredoxin. May play an important role in eliminating peroxides generated during metabolism. Might participate in the signaling cascades of growth factors and tumor necrosis factor-alpha by regulating the intracellular concentrations of H(2)O(2)	100 %	322
B4DM82	PPIA	Peptidylprolyl isomerase A (cyclophilin A); PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	78 %	248
B4DN21	FN1	Fibronectin 1	91 %	619
B4DN75	COMP	Cartilage oligomeric matrix protein; May play a role in the structural integrity of cartilage via its interaction with other extracellular matrix proteins such as the collagens and fibronectin. Can mediate the interaction of chondrocytes with the cartilage extracellular matrix through interaction with cell surface integrin receptors. Could play a role in the pathogenesis of osteoarthritis. Potent suppressor of apoptosis in both primary chondrocytes and transformed cells. Suppresses apoptosis by blocking the activation of caspase-3 and by inducing the IAP family of survival proteins (BI [...] 	100 %	1387
B4DZM1	GIGYF2	GRB10 interacting GYF protein 2; May act cooperatively with GRB10 to regulate tyrosine kinase receptor signaling, including IGF1 and insulin receptors	100 %	1155
B4E1C4	PROC	Protein C (inactivator of coagulation factors Va and VIIIa); Protein C is a vitamin K-dependent serine protease that regulates blood coagulation by inactivating factors Va and VIIIa in the presence of calcium ions and phospholipids (PubMed:25618265). Exerts a protective effect on the endothelial cell barrier function (PubMed:25651845)	100 %	685
B4E3Q4	CECR1	Cat eye syndrome chromosome region, candidate 1; Adenosine deaminase that may contribute to the degradation of extracellular adenosine, a signaling molecule that controls a variety of cellular responses. Requires elevated adenosine levels for optimal enzyme activity. Binds to cell surfaces via proteoglycans and may play a role in the regulation of cell proliferation and differentiation, independently of its enzyme activity	100 %	983
B7Z539	ITIH1	Inter-alpha-trypsin inhibitor heavy chain 1; May act as a carrier of hyaluronan in serum or as a binding protein between hyaluronan and other matrix protein, including those on cell surfaces in tissues to regulate the localization, synthesis and degradation of hyaluronan which are essential to cells undergoing biological processes	99 %	1292
B7Z556	AHSG	alpha-2-HS-glycoprotein; Promotes endocytosis, possesses opsonic properties and influences the mineral phase of bone. Shows affinity for calcium and barium ions	99 %	399
B7Z6Y5	ENG	Endoglin; Major glycoprotein of vascular endothelium. Involved in the regulation of angiogenesis. May play a critical role in the binding of endothelial cells to integrins and/or other RGD receptors. Acts as TGF-beta coreceptor and is involved in the TGF- beta/BMP signaling cascade. Required for GDF2/BMP9 signaling through SMAD1 in endothelial cells and modulates TGF-beta1 signaling through SMAD3	100 %	974
D3DPH5	COL5A2	Collagen, type V, alpha 2; Type V collagen is a member of group I collagen (fibrillar forming collagen). It is a minor connective tissue component of nearly ubiquitous distribution. Type V collagen binds to DNA, heparan sulfate, thrombospondin, heparin, and insulin. Type V collagen is a key determinant in the assembly of tissue- specific matrices (By similarity)	100 %	1251
D6RGX8	LECT2	Leukocyte cell-derived chemotaxin 2; Has a neutrophil chemotactic activity. Also a positive regulator of chondrocyte proliferation	100 %	202
E3UN46	IGF2	Insulin-like growth factor 2 (somatomedin A); The insulin-like growth factors possess growth-promoting activity. In vitro, they are potent mitogens for cultured cells. IGF-II is influenced by placental lactogen and may play a role in fetal development	100 %	226
E7EQB2	LTF	Lactotransferrin; Lactoferroxins A, B and C have opioid antagonist activity. Lactoferroxin A shows preference for mu-receptors, while lactoferroxin B and C have somewhat higher degrees of preference for kappa-receptors than for mu-receptors	100 %	1442
F5GX11	PSMA1	Proteasome (prosome, macropain) subunit, alpha type, 1; The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity. Mediates the lipopolysaccharide-induced signal transduction in the macrophage proteasome (By similarity). Might be involved in the anti-inflammatory response of macrophages during the interaction with C.albicans heat-inactivated cells (By similarity)	100 %	497
F5GZZ9	CD163	CD163 molecule; Acute phase-regulated receptor involved in clearance and endocytosis of hemoglobin/haptoglobin complexes by macrophages and may thereby protect tissues from free hemoglobin-mediated oxidative damage. May play a role in the uptake and recycling of iron, via endocytosis of hemoglobin/haptoglobin and subsequent breakdown of heme. Binds hemoglobin/haptoglobin complexes in a calcium-dependent and pH-dependent manner. Exhibits a higher affinity for complexes of hemoglobin and multimeric haptoglobin of HP*1F phenotype than for complexes of hemoglobin and dimeric haptoglobin of [...] 	100 %	2246
F5H2R5	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta; Regulates the GDP/GTP exchange reaction of the Rho proteins by inhibiting the dissociation of GDP from them, and the subsequent binding of GTP to them (PubMed:8356058, PubMed:7512369). Regulates reorganization of the actin cytoskeleton mediated by Rho family members (PubMed:8262133)	100 %	176
F5H7V9	TNC	Tenascin C; Extracellular matrix protein implicated in guidance of migrating neurons as well as axons during development, synaptic plasticity as well as neuronal regeneration. Promotes neurite outgrowth from cortical neurons grown on a monolayer of astrocytes. Ligand for integrins alpha-8/beta-1, alpha-9/beta-1, alpha-V/beta-3 and alpha-V/beta-6	76 %	2392
F6KPG5	ALB	Albumin; Serum albumin, the main protein of plasma, has a good binding capacity for water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs. Its main function is the regulation of the colloidal osmotic pressure of blood. Major zinc transporter in plasma, typically binds about 80% of all plasma zinc	100 %	1184
F8WBR5	CALM1	Calmodulin 1 (phosphorylase kinase, delta); Calmodulin mediates the control of a large number of enzymes, ion channels, aquaporins and other proteins by Ca(2+). Among the enzymes to be stimulated by the calmodulin-Ca(2+) complex are a number of protein kinases and phosphatases. Together with CCP110 and centrin, is involved in a genetic pathway that regulates the centrosome cycle and progression through cytokinesis	100 %	121
G8JLJ2	SOD2	Superoxide dismutase 2, mitochondrial; Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems	61 %	107
H0Y3T6	SDF4	Stromal cell derived factor 4; May regulate calcium-dependent activities in the endoplasmic reticulum lumen or post-ER compartment	89 %	427
H0Y512	APMAP	Adipocyte plasma membrane associated protein; Exhibits strong arylesterase activity with beta-naphthyl acetate and phenyl acetate. May play a role in adipocyte differentiation	98 %	807
H0Y7V2	SGSM3	Small G protein signaling modulator 3; May play a cooperative role in NF2-mediated growth suppression of cells	77 %	197
H0YFS1	STRING found no matching protein in its database
H0YLI6	IDH3A	Isocitrate dehydrogenase 3 (NAD+) alpha	100 %	280
H2B4M3	LILRA3	Leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3; Acts as soluble receptor for class I MHC antigens. Binds both classical and non-classical HLA class I molecules but with reduced affinities compared to LILRB1 or LILRB2. Binds with high affinity to the surface of monocytes, leading to abolish LPS- induced TNF-alpha production by monocytes	100 %	892
H7C0N0	ITIH1	Inter-alpha-trypsin inhibitor heavy chain 1; May act as a carrier of hyaluronan in serum or as a binding protein between hyaluronan and other matrix protein, including those on cell surfaces in tissues to regulate the localization, synthesis and degradation of hyaluronan which are essential to cells undergoing biological processes	99 %	959
K7ELP7	KRT17	Keratin 17; Type I keratin involved in the formation and maintenance of various skin appendages, specifically in determining shape and orientation of hair (By similarity). Required for the correct growth of hair follicles, in particular for the persistence of the anagen (growth) state (By similarity). Modulates the function of TNF-alpha in the specific context of hair cycling. Regulates protein synthesis and epithelial cell growth through binding to the adapter protein SFN and by stimulating Akt/mTOR pathway (By similarity). Involved in tissue repair. May be a marker of basal cell diff [...] 	98 %	97.4
L8E853	VWF	Von Willebrand factor; Important in the maintenance of hemostasis, it promotes adhesion of platelets to the sites of vascular injury by forming a molecular bridge between sub-endothelial collagen matrix and platelet-surface receptor complex GPIb-IX-V. Also acts as a chaperone for coagulation factor VIII, delivering it to the site of injury, stabilizing its heterodimeric structure and protecting it from premature clearance from plasma	100 %	5582
M0QYC8	C3	Complement component 3; C3 plays a central role in the activation of the complement system. Its processing by C3 convertase is the central reaction in both classical and alternative complement pathways. After activation C3b can bind covalently, via its reactive thioester, to cell surface carbohydrates or immune aggregates	93 %	368
M0R2W8	PGLYRP2	Peptidoglycan recognition protein 2; May play a scavenger role by digesting biologically active peptidoglycan (PGN) into biologically inactive fragments. Has no direct bacteriolytic activity	100 %	288
O75144	ICOSLG	Inducible T-cell co-stimulator ligand; Ligand for the T-cell-specific cell surface receptor ICOS. Acts as a costimulatory signal for T-cell proliferation and cytokine secretion; induces also B-cell proliferation and differentiation into plasma cells. Could play an important role in mediating local tissue responses to inflammatory conditions, as well as in modulating the secondary immune response by co- stimulating memory T-cell function (By similarity)	100 %	624
O75882	ATRN	Attractin; Involved in the initial immune cell clustering during inflammatory response and may regulate chemotactic activity of chemokines. May play a role in melanocortin signaling pathways that regulate energy homeostasis and hair color. Low-affinity receptor for agouti (By similarity). Has a critical role in normal myelination in the central nervous system (By similarity)	100 %	2989
P00558	PGK1	Phosphoglycerate kinase 1; In addition to its role as a glycolytic enzyme, it seems that PGK-1 acts as a polymerase alpha cofactor protein (primer recognition protein) (PubMed:2324090). May play a role in sperm motility (PubMed:26677959)	100 %	846
P00568	AK1	Adenylate kinase 1; Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Also displays broad nucleoside diphosphate kinase activity. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism	100 %	393
P00915	CA1	Carbonic anhydrase I; Reversible hydration of carbon dioxide. Can hydrates cyanamide to urea	100 %	542
P01009	SERPINA1	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1; Inhibitor of serine proteases. Its primary target is elastase, but it also has a moderate affinity for plasmin and thrombin. Irreversibly inhibits trypsin, chymotrypsin and plasminogen activator. The aberrant form inhibits insulin-induced NO synthesis in platelets, decreases coagulation time and has proteolytic activity against insulin and plasmin	100 %	858
P02647	APOA1	Apolipoprotein A-I; Participates in the reverse transport of cholesterol from tissues to the liver for excretion by promoting cholesterol efflux from tissues and by acting as a cofactor for the lecithin cholesterol acyltransferase (LCAT). As part of the SPAP complex, activates spermatozoa motility	100 %	537
P02741	CRP	C-reactive protein, pentraxin-related; Displays several functions associated with host defense: it promotes agglutination, bacterial capsular swelling, phagocytosis and complement fixation through its calcium-dependent binding to phosphorylcholine. Can interact with DNA and histones and may scavenge nuclear material released from damaged circulating cells	100 %	461
P02763	ORM1	Orosomucoid 1; Functions as transport protein in the blood stream. Binds various ligands in the interior of its beta-barrel domain. Also binds synthetic drugs and influences their distribution and availability in the body. Appears to function in modulating the activity of the immune system during the acute-phase reaction	100 %	418
P02765	AHSG	alpha-2-HS-glycoprotein; Promotes endocytosis, possesses opsonic properties and influences the mineral phase of bone. Shows affinity for calcium and barium ions	99 %	747
P02775	PPBP	Pro-platelet basic protein (chemokine (C-X-C motif) ligand 7); LA-PF4 stimulates DNA synthesis, mitosis, glycolysis, intracellular cAMP accumulation, prostaglandin E2 secretion, and synthesis of hyaluronic acid and sulfated glycosaminoglycan. It also stimulates the formation and secretion of plasminogen activator by human synovial cells. NAP-2 is a ligand for CXCR1 and CXCR2, and NAP-2, NAP-2(73), NAP-2(74), NAP-2(1-66), and most potent NAP-2(1-63) are chemoattractants and activators for neutrophils. TC-1 and TC-2 are antibacterial proteins, in vitro released from activated platelet al [...] 	100 %	257
P02776	PF4	Platelet factor 4; Released during platelet aggregation. Neutralizes the anticoagulant effect of heparin because it binds more strongly to heparin than to the chondroitin-4-sulfate chains of the carrier molecule. Chemotactic for neutrophils and monocytes. Inhibits endothelial cell proliferation, the short form is a more potent inhibitor than the longer form	100 %	202
P02790	HPX	Hemopexin; Binds heme and transports it to the liver for breakdown and iron recovery, after which the free hemopexin returns to the circulation	100 %	959
P02792	FTL	Ferritin, light polypeptide; Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation. Also plays a role in delivery of iron to cells. Mediates iron uptake in capsule cells of the developing kidney (By similarity)	100 %	360
P03952	KLKB1	Kallikrein B, plasma (Fletcher factor) 1; The enzyme cleaves Lys-Arg and Arg-Ser bonds. It activates, in a reciprocal reaction, factor XII after its binding to a negatively charged surface. It also releases bradykinin from HMW kininogen and may also play a role in the renin-angiotensin system by converting prorenin into renin	100 %	1332
P04040	CAT	Catalase; Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide. Promotes growth of cells including T-cells, B-cells, myeloid leukemia cells, melanoma cells, mastocytoma cells and normal and transformed fibroblast cells	100 %	1103
P05362	ICAM1	Intercellular adhesion molecule 1; ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2). During leukocyte trans- endothelial migration, ICAM1 engagement promotes the assembly of endothelial apical cups through ARHGEF26/SGEF and RHOG activation	100 %	1079
P05452	CLEC3B	C-type lectin domain family 3, member B; Tetranectin binds to plasminogen and to isolated kringle 4. May be involved in the packaging of molecules destined for exocytosis	100 %	420
P06396	GSN	Gelsolin; Calcium-regulated, actin-modulating protein that binds to the plus (or barbed) ends of actin monomers or filaments, preventing monomer exchange (end-blocking or capping). It can promote the assembly of monomers into filaments (nucleation) as well as sever filaments already formed. Plays a role in ciliogenesis	100 %	1621
P06727	APOA4	Apolipoprotein A-IV; May have a role in chylomicrons and VLDL secretion and catabolism. Required for efficient activation of lipoprotein lipase by ApoC-II; potent activator of LCAT. Apoa-IV is a major component of HDL and chylomicrons	100 %	790
P08637	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a); Receptor for the Fc region of IgG. Binds complexed or aggregated IgG and also monomeric IgG. Mediates antibody-dependent cellular cytotoxicity (ADCC) and other antibody-dependent responses, such as phagocytosis	100 %	530
P08697	SERPINF2	Serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2; Serine protease inhibitor. The major targets of this inhibitor are plasmin and trypsin, but it also inactivates matriptase-3/TMPRSS7 and chymotrypsin	100 %	996
P0DOX2	ENSG00000223931	Protein IGHV3OR16-10 	77 %	169
P10599	TXN	Thioredoxin; Participates in various redox reactions through the reversible oxidation of its active center dithiol to a disulfide and catalyzes dithiol-disulfide exchange reactions. Plays a role in the reversible S-nitrosylation of cysteine residues in target proteins, and thereby contributes to the response to intracellular nitric oxide. Nitrosylates the active site Cys of CASP3 in response to nitric oxide (NO), and thereby inhibits caspase-3 activity. Induces the FOS/JUN AP-1 DNA-binding activity in ionizing radiation (IR) cells through its oxidation/reduction status and stimulates A [...] 	100 %	214
P11226	MBL2	Mannose-binding lectin (protein C) 2, soluble; Calcium-dependent lectin involved in innate immune defense. Binds mannose, fucose and N-acetylglucosamine on different microorganisms and activates the lectin complement pathway. Binds to late apoptotic cells, as well as to apoptotic blebs and to necrotic cells, but not to early apoptotic cells, facilitating their uptake by macrophages. May bind DNA	100 %	504
P14174	MIF	Macrophage migration inhibitory factor (glycosylation-inhibiting factor); Pro-inflammatory cytokine. Involved in the innate immune response to bacterial pathogens. The expression of MIF at sites of inflammation suggests a role as mediator in regulating the function of macrophages in host defense. Counteracts the anti- inflammatory activity of glucocorticoids. Has phenylpyruvate tautomerase and dopachrome tautomerase activity (in vitro), but the physiological substrate is not known. It is not clear whether the tautomerase activity has any physiological relevance, and whether it is impor [...] 	100 %	241
P14543	NID1	Nidogen 1; Sulfated glycoprotein widely distributed in basement membranes and tightly associated with laminin. Also binds to collagen IV and perlecan. It probably has a role in cell- extracellular matrix interactions	100 %	2583
P18065	IGFBP2	Insulin-like growth factor binding protein 2, 36kDa; Inhibits IGF-mediated growth and developmental rates. IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors	100 %	649
P19652	ORM2	Orosomucoid 2; Functions as transport protein in the blood stream. Binds various hydrophobic ligands in the interior of its beta- barrel domain. Also binds synthetic drugs and influences their distribution and availability. Appears to function in modulating the activity of the immune system during the acute-phase reaction	100 %	421
P24593	IGFBP5	Insulin-like growth factor binding protein 5; IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors	100 %	560
P26447	S100A4	S100 calcium binding protein A4	100 %	207
P27169	PON1	Paraoxonase 1; Hydrolyzes the toxic metabolites of a variety of organophosphorus insecticides. Capable of hydrolyzing a broad spectrum of organophosphate substrates and lactones, and a number of aromatic carboxylic acid esters. Mediates an enzymatic protection of low density lipoproteins against oxidative modification and the consequent series of events leading to atheroma formation	100 %	729
P27918	CFP	Complement factor properdin; A positive regulator of the alternate pathway of complement. It binds to and stabilizes the C3- and C5-convertase enzyme complexes	100 %	930
P30043	BLVRB	Biliverdin reductase B (flavin reductase (NADPH)); Broad specificity oxidoreductase that catalyzes the NADPH-dependent reduction of a variety of flavins, such as riboflavin, FAD or FMN, biliverdins, methemoglobin and PQQ (pyrroloquinoline quinone). Contributes to heme catabolism and metabolizes linear tetrapyrroles. Can also reduce the complexed Fe(3+) iron to Fe(2+) in the presence of FMN and NADPH. In the liver, converts biliverdin to bilirubin	100 %	420
P36955	SERPINF1	Serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1; Neurotrophic protein; induces extensive neuronal differentiation in retinoblastoma cells. Potent inhibitor of angiogenesis. As it does not undergo the S (stressed) to R (relaxed) conformational transition characteristic of active serpins, it exhibits no serine protease inhibitory activity	100 %	853
P43652	AFM	Afamin; Vitamin E binding protein. May transport vitamin E in body fluids under conditions where the lipoprotein system is not sufficient. May be involved in the regulation and transport of vitamin E at the blood-brain barrier	100 %	1228
P49908	SEPP1	Selenoprotein P, plasma, 1; Might be responsible for some of the extracellular antioxidant defense properties of selenium or might be involved in the transport of selenium. May supply selenium to tissues such as brain and testis	100 %	687
P54289	CACNA2D1	Calcium channel, voltage-dependent, alpha 2/delta subunit 1; The alpha-2/delta subunit of voltage-dependent calcium channels regulates calcium current density and activation/inactivation kinetics of the calcium channel. Plays an important role in excitation-contraction coupling (By similarity)	98 %	2229
P55290	CDH2	Cadherin 2, type 1, N-cadherin (neuronal); Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. Acts as a regulator of neural stem cells quiescence by mediating anchorage of neural stem cells to ependymocytes in the adult subependymal zone: upon cleavage by MMP24, CDH2-mediated anchorage is affected, leading to modulate neural stem cell quiescence. CDH2 may be involved in neuronal recognition mechanism. In hippocampal neur [...] 	43 %	510
P80108	GPLD1	Glycosylphosphatidylinositol specific phospholipase D1; This protein hydrolyzes the inositol phosphate linkage in proteins anchored by phosphatidylinositol glycans (GPI-anchor) thus releasing these proteins from the membrane	100 %	1734
Q16610	ECM1	Extracellular matrix protein 1; Involved in endochondral bone formation as negative regulator of bone mineralization. Stimulates the proliferation of endothelial cells and promotes angiogenesis. Inhibits MMP9 proteolytic activity	95 %	1096
Q16627	CCL14	Chemokine (C-C motif) ligand 14	84 %	186
Q17RQ9	NKPD1	NTPase, KAP family P-loop domain containing 1	100 %	1248
Q53H26	TF	Transferrin; Transferrins are iron binding transport proteins which can bind two Fe(3+) ions in association with the binding of an anion, usually bicarbonate. It is responsible for the transport of iron from sites of absorption and heme degradation to those of storage and utilization. Serum transferrin may also have a further role in stimulating cell proliferation	100 %	1446
Q59GR5	BPGM	2,3-bisphosphoglycerate mutase; Plays a major role in regulating hemoglobin oxygen affinity by controlling the levels of its allosteric effector 2,3- bisphosphoglycerate (2,3-BPG). Also exhibits mutase (EC 5.4.2.1) and phosphatase (EC 3.1.3.13) activities	100 %	292
Q5H9A7	TIMP1	TIMP metallopeptidase inhibitor 1; Metalloproteinase inhibitor that functions by forming one to one complexes with target metalloproteinases, such as collagenases, and irreversibly inactivates them by binding to their catalytic zinc cofactor. Acts on MMP1, MMP2, MMP3, MMP7, MMP8, MMP9, MMP10, MMP11, MMP12, MMP13 and MMP16. Does not act on MMP14. Also functions as a growth factor that regulates cell differentiation, migration and cell death and activates cellular signaling cascades via CD63 and ITGB1. Plays a role in integrin signaling. Mediates erythropoiesis in vitro; but, unlike IL3, [...] 	100 %	301
Q5TFQ8	SIRPB1	Signal-regulatory protein beta 1; Immunoglobulin-like cell surface receptor involved in the negative regulation of receptor tyrosine kinase-coupled signaling processes	100 %	823
Q5U000	CTSZ	Cathepsin Z; Exhibits carboxy-monopeptidase as well as carboxy- dipeptidase activity	100 %	629
Q5VY30	RBP4	Retinol binding protein 4, plasma; Delivers retinol from the liver stores to the peripheral tissues. In plasma, the RBP-retinol complex interacts with transthyretin, this prevents its loss by filtration through the kidney glomeruli	99 %	386
Q6MZL2	MASP1	Mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	99 %	658
Q6UXB8	PI16	Peptidase inhibitor 16; Putative serine protease inhibitor	100 %	944
Q6Y1H2	PTPLB	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b; Catalyzes the third of the four reactions of the long- chain fatty acids elongation cycle. This endoplasmic reticulum- bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme catalyzes the dehydration of the 3-hydroxyacyl-CoA intermediate into trans-2,3-enoyl-CoA, within each cycle of fatty acid elongation. Thereby, it participates to the production of VLCFAs of different chain lengths that are involved in multiple [...] 	100 %	514
Q76LX8	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif, 13; Cleaves the vWF multimers in plasma into smaller forms thereby controlling vWF-mediated platelet thrombus formation	100 %	2892
Q86U17	SERPINA11	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11	100 %	867
Q8NBJ4	GOLM1	Golgi membrane protein 1; Unknown. Cellular response protein to viral infection	100 %	809
Q8NC59	TBC1D1	TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1; May act as a GTPase-activating protein for Rab family protein(s). May play a role in the cell cycle and differentiation of various tissues. Involved in the trafficking and translocation of GLUT4-containing vesicles and insulin-stimulated glucose uptake into cells (By similarity)	100 %	540
Q8NDA2	HMCN1	Hemicentin 1	43 %	3622
Q8TCF0	LBP	Lipopolysaccharide binding protein; Plays a role in the innate immune response. Binds to the lipid A moiety of bacterial lipopolysaccharides (LPS), a glycolipid present in the outer membrane of all Gram-negative bacteria (PubMed:7517398, PubMed:24120359). Acts as an affinity enhancer for CD14, facilitating its association with LPS. Promotes the release of cytokines in response to bacterial lipopolysaccharide (PubMed:7517398, PubMed:24120359)	100 %	953
